,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
165,GLYCOL DISTEARATE,글라이콜다이스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
166,MENTHA PIPERITA (PEPPERMINT) OIL,페퍼민트오일,Limited,4,4,Yellow,LOW,LOW,HIGH
167,DECYL GLUCOSIDE,데실글루코사이드,Limited,3,3,Yellow,LOW,LOW,LOW_MODERATE
168,ISOPROPYL MYRISTATE,아이소프로필미리스테이트,Fair,1,1,Green,LOW,LOW,LOW
169,LAUROYL LYSINE,라우로일라이신,Limited,1,1,Green,LOW,LOW,LOW
170,"1,2-HEXANEDIOL","1,2-헥산다이올",Limited,1,1,Green,LOW,LOW,LOW
171,ACRYLATES/ C10-30 ALKYL ACRYLATE CROSSPOLYMER,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Limited,1,1,Green,LOW,LOW,LOW
172,D&C Black No. 2 (CI 77266),,Robust,8-10,10,Red,MODERATE,LOW_MODERATE,MODERATE
173,CHLORPHENESIN,클로페네신,Fair,3,3,Yellow,LOW,LOW,LOW_MODERATE
174,AMODIMETHICONE,아모다이메티콘,Limited,1,1,Green,LOW,LOW,LOW
175,ALPHA-ISOMETHYL IONONE,알파-아이소메틸아이오논,Limited,3-5,5,Yellow,LOW,LOW,HIGH
176,OCTOCRYLENE,옥토크릴렌,Fair,2-3,3,Yellow,LOW,LOW,LOW
177,POLYSORBATE-60,폴리솔베이트60,Limited,3,3,Yellow,LOW,LOW,LOW
178,CHROMIUM HYDROXIDE GREEN,크로뮴하이드록사이드그린,Limited,2-4,4,Yellow,LOW,LOW,LOW
179,ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT,로즈마리추출물,None,2,2,Green,LOW,LOW,MODERATE
180,METHICONE,메티콘,Limited,1,1,Green,LOW,LOW,LOW
181,PRUNUS ARMENIACA (APRICOT) KERNEL OIL,살구씨오일,Limited,1,1,Green,LOW,LOW,LOW
182,OXYBENZONE,,Good,8,8,Red,LOW,LOW,MODERATE
183,BENZOIC ACID,벤조익애씨드,Good,1-3,3,Yellow,LOW,LOW,LOW
184,MAGNESIUM SULFATE,마그네슘설페이트,Fair,1,1,Green,LOW,LOW,LOW
185,ACETYL TRIBUTYL CITRATE,아세틸트라이부틸시트레이트,Limited,1,1,Green,LOW,LOW,LOW
186,SILICA DIMETHYL SILYLATE,실리카다이메틸실릴레이트,Limited,1,1,Green,LOW,LOW,LOW
187,LACTIC ACID,락틱애씨드,Good,1-4,4,Yellow,LOW,LOW,LOW
188,NIACINAMIDE,나이아신아마이드,Fair,1,1,Green,LOW,LOW,LOW
189,HYDROXYCITRONELLAL,하이드록시시트로넬알,Limited,3-6,6,Yellow,LOW,LOW,HIGH
190,D&C RED NO. 30 (CI 73360) LAKE,,Limited,4-5,5,Yellow,LOW,LOW,LOW
191,ADIPIC ACID/ NEOPENTYL GLYCOL/ TRIMELLITIC ANHYDRIDE COPOLYMER,아디픽애씨드/네오펜틸글라이콜/트라이멜리틱안하이드라이드코폴리머,Limited,1,1,Green,LOW,LOW,LOW
192,POLYQUATERNIUM-10,폴리쿼터늄-10,Limited,1,1,Green,LOW,LOW,LOW
193,ALUMINUM STARCH OCTENYLSUCCINATE,알루미늄전분옥테닐석시네이트,Limited,1-2,2,Green,LOW,LOW,LOW
194,ZEA MAYS (CORN) STARCH,옥수수전분,Fair,1,1,Green,LOW,LOW,LOW
195,CYCLOHEXASILOXANE,사이클로헥사실록세인,Limited,2,2,Green,LOW,LOW,LOW
196,AMINOMETHYL PROPANOL,아미노메틸프로판올,Fair,1-3,3,Yellow,LOW,LOW,LOW
197,OCTYLDODECYL STEAROYL STEARATE,옥틸도데실스테아로일스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
